,road,neighbourhood,postcode,mayoralty,city,state,country
148,Calle Bajío,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
149,Calle Michoacán,Hipódromo,06100,Cuauhtémoc,Ciudad de México,NA,México
150,Calle Tonalá,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
151,Calle de la Constitución,Escandón,11800,Miguel Hidalgo,Ciudad de México,NA,México
152,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
153,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
154,Avenida Chapultepec,Miguel Hidalgo,11580,Miguel Hidalgo,Ciudad de México,NA,México
155,Avenida Baja California,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
156,Privada de la Constitución,Escandón,11800,Miguel Hidalgo,Ciudad de México,NA,México
157,Calle Nayarit,Centro Urbano Benito Juárez,06760,Cuauhtémoc,Ciudad de México,NA,México
158,Calle Francisco Zarco,Guerrero,06300,Cuauhtémoc,Ciudad de México,NA,México
159,18 de Julio,Escandón,11800,Miguel Hidalgo,Ciudad de México,NA,México
160,Calle Coahuila,Centro Urbano Benito Juárez,06700,Cuauhtémoc,Ciudad de México,NA,México
161,Calle Tonalá,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
162,Calle Tonalá,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
163,Calle Bajío,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
164,Calle Río Danubio,Cuauhtémoc,06500,Cuauhtémoc,Ciudad de México,NA,México
165,Calle Colima,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
166,Calle Hermosillo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
167,Calle Chiapas,Centro Urbano Benito Juárez,06700,Cuauhtémoc,Ciudad de México,NA,México
168,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
169,Calle Atztecas,Tepito,06200,Cuauhtémoc,Ciudad de México,NA,México
170,Calle Colima,Condesa,NA,Cuauhtémoc,Ciudad de México,NA,México
171,Calle Tlacotalpan,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
172,Calle Tepeji,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
173,Calle Popocatépetl,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
174,Calle Tlacotalpan,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
175,Calle Frontera,Juárez,NA,Cuauhtémoc,Ciudad de México,NA,México
176,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
177,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
178,Calle Córdoba,Centro Urbano Benito Juárez,06700,Cuauhtémoc,Ciudad de México,NA,México
179,Calle Salina Cruz,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
180,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
181,Avenida Mosqueta,Guerrero,06300,Cuauhtémoc,Ciudad de México,NA,México
182,Calle Salina Cruz,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
183,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
184,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
185,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
186,Calle Durango,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
187,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
188,Calle Coahuila,Centro Urbano Benito Juárez,06700,Cuauhtémoc,Ciudad de México,NA,México
189,Calle 2 de Abril,Roma,64700,NA,Monterrey,Nuevo León,México
190,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
191,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
192,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
193,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
194,Metrobús Linea 2,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
195,Calle Frontera,Juárez,NA,Cuauhtémoc,Ciudad de México,NA,México
196,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
197,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
198,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
199,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
200,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
201,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc,Ciudad de México,NA,México
202,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
203,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
