,road,neighbourhood,postcode,mayoralty
894,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
895,Calle Linares,Roma Sur,06760,Cuauhtémoc
896,Medellín,Roma Sur,NA,Cuauhtémoc
897,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
898,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
899,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
900,Avenida Baja California,Roma Sur,06760,Cuauhtémoc
901,Avenida Baja California,Roma Sur,06760,Cuauhtémoc
902,Pomona,Roma Norte,06700,Cuauhtémoc
903,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
904,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
905,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
906,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
907,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc
908,Transbordo Intermodal MB Álvaro Obregón,Roma Norte,06700,Cuauhtémoc
909,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
910,Calle Palestina,Roma,64700,NA
911,Calle Iguala,Roma Sur,06760,Cuauhtémoc
912,Avenida Baja California,Roma Sur,06760,Cuauhtémoc
913,Calle Tapachula,Centro Urbano Benito Juárez,06700,NA
914,Calle Nayarit,Centro Urbano Benito Juárez,06760,NA
915,Calle Río Nazas,NA,64750,NA
916,Calle Tapachula,Centro Urbano Benito Juárez,06700,NA
917,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
918,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
919,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
920,Calle Linares,Roma Sur,06760,Cuauhtémoc
921,Privada Luis Elizondo,Privada Roma,64700,NA
922,Calle Hermosillo,Roma Sur,06760,Cuauhtémoc
923,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
924,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
925,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
926,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
927,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
928,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
929,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
930,Calle Jalapa,Roma Norte,06700,Cuauhtémoc
931,Calle Hermosillo,Roma Sur,06760,Cuauhtémoc
932,Calle Hermosillo,Roma Sur,06760,Cuauhtémoc
933,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
934,Medellín,Roma Sur,06760,Cuauhtémoc
935,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
936,Calle Orizaba,Juárez,06700,Cuauhtémoc
937,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
938,Calle Orizaba,Juárez,06700,Cuauhtémoc
939,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
940,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
941,Calle Palestina,Roma,64700,NA
942,Calle Palestina,Roma,64700,NA
943,Calle Linares,Roma Sur,06760,Cuauhtémoc
944,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
945,Calle Paricutín,Nuevo Repueblo,64700,NA
946,Calle Paricutín,Nuevo Repueblo,64700,NA
947,Calle Paricutín,Nuevo Repueblo,64700,NA
948,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
949,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
950,Calle Durango,Roma Norte,06700,Cuauhtémoc
951,Avenida Sonora,Condesa,06700,Cuauhtémoc
952,Calle Sinaloa,Condesa,06700,Cuauhtémoc
953,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
954,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
955,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,NA
956,Calle Valladolid,Roma Norte,06700,Cuauhtémoc
957,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
958,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
959,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
960,Pomona,Roma Norte,06700,Cuauhtémoc
961,Calle Colima,Roma Norte,06700,Cuauhtémoc
962,Pomona,Roma Norte,06700,Cuauhtémoc
963,Medellín,Roma Sur,06760,Cuauhtémoc
964,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
965,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
966,Calle Colima,Roma Norte,06700,Cuauhtémoc
967,Calle Tlacotalpan,Roma Sur,06760,Cuauhtémoc
968,NA,Condesa,06140,Cuauhtémoc
969,NA,Condesa,06140,Cuauhtémoc
970,Calle Tlacotalpan,Roma Sur,06760,Cuauhtémoc
971,Medellín,Roma Sur,06760,Cuauhtémoc
972,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
973,Medellín,Roma Sur,NA,Cuauhtémoc
974,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
975,Avenida Monterrey,Roma Sur,06760,Cuauhtémoc
976,Avenida Monterrey,Roma Sur,06760,Cuauhtémoc
977,Avenida Monterrey,Roma Sur,06760,Cuauhtémoc
978,Avenida Monterrey,Roma Sur,06760,Cuauhtémoc
979,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
980,Calle Bajío,Roma Sur,06760,Cuauhtémoc
