,road,neighbourhood,postcode,mayoralty
281,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
282,Calle José Martí,Escandón,11800,Miguel Hidalgo
283,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
284,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
285,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
286,Viaducto Presidente Miguel Alemán,Roma Sur,06760,Cuauhtémoc
287,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
288,Calle Colima,Roma Norte,06700,Cuauhtémoc
289,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
290,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
291,Calle Colima,Roma Norte,06700,Cuauhtémoc
292,Calle Toluca,Centro Urbano Benito Juárez,06760,NA
293,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
294,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
295,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
296,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
297,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
298,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
299,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
300,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
301,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
302,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
303,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
304,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
305,Calle Guanajuato,Roma Norte,06700,Cuauhtémoc
306,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
307,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
308,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
309,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
310,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
311,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
312,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
313,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
314,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
315,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
316,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
317,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
318,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
319,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
320,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
321,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
322,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
323,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
324,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
325,Calle Puerto México,Roma Sur,06760,Cuauhtémoc
326,Calle Chilpancingo,Hipódromo,06100,Cuauhtémoc
327,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
328,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
329,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
330,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
331,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
332,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
333,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
334,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
335,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
336,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
337,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
338,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
339,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
340,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
341,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,NA
342,Calle Morelia,Juárez,06600,Cuauhtémoc
343,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc
344,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
345,Avenida Eugenio Garza Sada,Roma,64700,NA
346,Calle Tabasco,Roma Norte,06700,Cuauhtémoc
347,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
348,Calle Jalapa,Centro Urbano Benito Juárez,06700,NA
349,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
350,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
351,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
352,Calle Chilpancingo,Hipódromo,06100,Cuauhtémoc
353,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
354,Calle Tepeji,Roma Sur,06760,Cuauhtémoc
355,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
356,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
357,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
358,Calle Nayarit,Centro Urbano Benito Juárez,06760,NA
359,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
360,Calle Bajío,Roma Sur,06760,Cuauhtémoc
361,Avenida Insurgentes Sur,Roma Norte,06700,Cuauhtémoc
362,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
363,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
364,Avenida Insurgentes Sur,Roma Sur,06760,Cuauhtémoc
365,Calle Tabasco,Roma Norte,06700,Cuauhtémoc
366,Calle Puerto México,Roma Sur,06760,Cuauhtémoc
367,Calle Guanajuato,Roma Norte,06700,Cuauhtémoc
368,Calle Puebla,Roma Norte,06700,Cuauhtémoc
369,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
370,Guerrero,Tabacalera,06300,Cuauhtémoc
371,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,NA
372,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
373,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
374,Ciclovía Durango,Roma Norte,06700,Cuauhtémoc
375,Cerrada Cozumel,Condesa,06700,Cuauhtémoc
376,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
377,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
378,Avenida Baja California,Roma Sur,06760,Cuauhtémoc
379,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
380,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
381,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
382,Calle Puebla,Zona Rosa,06700,NA
383,Calle Bajío,Roma Sur,06760,Cuauhtémoc
384,Calle Tabasco,Roma Norte,06700,Cuauhtémoc
385,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
386,Calle Nautla,Roma Sur,06760,Cuauhtémoc
387,Calle Monclova,Roma Sur,06760,Cuauhtémoc
388,Calle Torreón,Roma Sur,06760,Cuauhtémoc
389,Calle Puerto México,Roma Sur,06760,Cuauhtémoc
390,Calle Monclova,Roma Sur,06760,Cuauhtémoc
391,Calle Monclova,Roma Sur,06760,Cuauhtémoc
392,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
393,Avenida Luis Elizondo,México,647770,NA
394,Calle Monclova,Roma Sur,06760,Cuauhtémoc
395,Calle Monclova,Roma Sur,06760,Cuauhtémoc
396,Calle Monclova,Roma Sur,06760,Cuauhtémoc
397,Calle Bajío,Roma Sur,06760,Cuauhtémoc
398,Calle Puebla,Zona Rosa,06700,NA
399,Calle Monclova,Roma Sur,06760,Cuauhtémoc
400,Calle Monclova,Roma Sur,06760,Cuauhtémoc
401,Calle Monclova,Roma Sur,06760,Cuauhtémoc
402,Calle Monclova,Roma Sur,06760,Cuauhtémoc
403,Calle Monclova,Roma Sur,06760,Cuauhtémoc
404,Calle Monclova,Roma Sur,06760,Cuauhtémoc
405,Calle Monclova,Roma Sur,06760,Cuauhtémoc
406,Calle Tabasco,Roma Norte,06700,Cuauhtémoc
